Samples	Groups
PLASMA01	PLASMA
PLASMA02	PLASMA
PLASMA03	PLASMA
PLASMA05	PLASMA
PLASMA06	PLASMA
PLASMA07	PLASMA
PLASMA08	PLASMA
PLASMA09	PLASMA
PLASMA10	PLASMA
PLASMA11	PLASMA
PLASMA12	PLASMA
PLASMA13	PLASMA
PLASMA14	PLASMA
PLASMA15	PLASMA
QC1	QC
QC2	QC
QC3	QC
QC4	QC
QC5	QC
QC6	QC
QCDDA_SCAN1_01	QC
QCDDA_SCAN1_02	QC
QCDDA_SCAN2_01	QC
QCDDA_SCAN2_02	QC
QCDDA_SCAN3_01	QC
QCDDA_SCAN3_02	QC
SERUM01	Serum
SERUM02	Serum
SERUM03	Serum
SERUM04	Serum
SERUM05	Serum
SERUM06	Serum
SERUM07	Serum
SERUM08	Serum
SERUM09	Serum
SERUM10	Serum
SERUM11	Serum
SERUM12	Serum
SERUM13	Serum
SERUM14	Serum
SERUM15	Serum
WB_SERUM_PLASMA_TargetedDDMSC18_NEG01	QC
WB_SERUM_PLASMA_TargetedDDMSC18_NEG02	QC
WB_SERUM_PLASMA_TargetedDDMSC18_NEG03	QC
WB_SERUM_PLASMA_TargetedDDMSC18_NEG04	QC
WB_SERUM_PLASMA_TargetedDDMSC18_NEG11	QC
WB_SERUM_PLASMA_TargetedDDMSC18_NEG12	QC
WB_SERUM_PLASMA_TargetedDDMSC18_NEG13	QC
WB_SERUM_PLASMA_TargetedDDMSC18_NEG14	QC
WB_SERUM_PLASMA_TargetedDDMSC18_NEGall	QC
WB_SERUM_PLASMA_TargetedDDMSC18_NEGall2	QC
WB01	WB
WB02	WB
WB03	WB
WB04	WB
WB05	WB
WB06	WB
WB07	WB
WB08	WB
WB09	WB
WB10	WB
WB11	WB
WB12	WB
WB13	WB
WB14	WB
WB15	WB
