	mzmed	mzmin	mzmax	rtmed	rtmin	rtmax	npeaks	Dataset_0	mean	maxint	pzq_neg_20180203_1_3	pzq_neg_20180203_1_4	pzq_neg_20180203_1_5	isotopes	adduct	pcgroup
436	540.332426415783	540.327477661054	540.333887417679	18.015850067139	18.0156834004723	18.049667358398	3	3	35191247.4371473	5745560	40711938.9445249	30856974.4346517	34004828.9322654	[73][M]+		2
311	480.308303463542	480.303722528975	480.312104780118	18.01584148407	18.0156834004723	18.27551651001	4	3	31822882.3047667	5112828	37438242.0887604	26495985.0476265	31534419.7779133	[48][M]+		2
513	568.363115445193	568.363069364984	568.365572791435	20.623416900635	20.5894501088463	20.623434066772	3	3	26382404.5251187	5751232	39148033.4050489	16366468.0790201	23632712.0912872	[89][M]+		1
886	802.567767998455	802.564372817458	802.568605132653	28.762050628662	28.728216171265	28.987916946411	3	3	37110389.4804409	3359412	21500212.404698	72673007.1720528	17157948.8645718			4
504	566.346431550209	566.345746843278	566.346706519488	18.6028175354	18.6016508687333	18.602832794189	3	3	14780632.143303	3991522	21735236.3842461	9362941.79774501	13243718.247918	[88][M]+		3
381	508.341431642851	508.340718714464	508.342788582931	20.589599609375	20.5894501088463	20.623416900635	3	3	16245053.8373541	3165462	23205468.5246321	11732375.8445144	13797317.1429158	[60][M]+		1
836	747.564842911885	747.559570815809	747.570991163817	27.080200195313	26.967283248901	27.26078414917	5	3	15989269.3717276	2348912	17121950.2350741	15871030.2429015	14974827.6372071	[154][M]+		6
919	826.562742231685	826.556797406992	826.568687056378	27.2911500930785	27.26078414917	27.321516036987	2	2	25329162.90188	2149392	29900086.4902551	25321102.1670235	20766300.0483615			7
375	506.32462672704	506.32425315708	506.325000297	18.6022342020667	18.6016508687333	18.6028175354	2	2	9675488.48685296	2636146	14181559.8277674	5535687.24708652	9309218.38570497			3
1170	1036.66848718938	1036.65780727375	1036.67112941581	18.015850067139	18.0156834004723	18.049667358398	3	3	8669255.7056691	2109904	11445174.5367798	6366202.59903548	8196389.98119198	[204][M]+		2
309	480.25277995134	480.248996469858	480.256563432822	18.0157667338057	18.0156834004723	18.015850067139	2	2	10918612.7423269	5112828	32717672.2686811	16403.0067894723	21762.9515100422			2
1296	1091.72846185833	1091.72673681639	1091.73018690027	20.589591026306	20.589582443237	20.589599609375	2	2	6925224.91335181	2465242	12795059.0771542	3289565.36440016	4691050.29850107	[228][M]+		1
892	803.570785969714	803.561250742228	803.571534682798	28.818500518799	28.694383621216	28.987916946411	4	3	14115840.5993818	1503438	11652898.5165737	23672019.4034246	7022603.8781472	[161][M]+		11
444	541.335562466936	541.330070529891	541.337012453147	18.015850067139	18.0156834004723	18.049667358398	3	3	8202458.55839634	1378482	9491606.91121282	7189235.28281192	7926533.48116428	[73][M+1]+		2
571	588.331164683666	588.330220908335	588.332108458997	17.0846338272095	17.067733764648	17.101533889771	2	2	5371660.46512255	1349581	5407803.28238662	5089388.97978042	5617789.13320063	[101][M]+		12
887	802.640034629293	802.63894757797	802.641121680615	28.728233337402	28.69443321228	28.762033462524	2	2	19917737.0011808	3288802	2233509.97706075	56597168.9561392	922532.070342591			5
518	569.366042256427	569.365176943402	569.368253785716	20.623416900635	20.6232826588953	20.623434066772	3	3	6283166.66267041	1518923	10333366.9205429	3939818.19480589	4576314.87266242	[89][M+1]+		1
918	826.554381669166	826.552999651576	826.555763686757	27.667191505432	27.667182922363	27.667200088501	2	2	6691860.19889479	1272591	7597771.58325239	4980987.42369692	7496821.58973506			13
320	481.314029110801	481.309047336965	481.315426022399	18.015832901001	18.0156834004723	18.015850067139	3	3	6167937.42272971	1127755	6567952.26461301	5460256.53752568	6475603.46605045	[48][M+1]+		2
53	279.23172316305	279.231256282987	279.233629125406	23.185733795166	23.151916503906	23.264850616455	3	2	5605891.80450403	1064533	5950854.27719936	4631369.22198809	6235451.91432462	[4][M]+		14
304	476.276721233769	476.274560790842	476.278830079937	16.9606329854333	16.954816818237	16.988616943359	3	3	3321152.07414166	1939217	7459153.63676892	1003016.04487006	1501286.54078598	[46][M]+		9
922	827.56427384707	827.559635689594	827.568912004546	27.330699920654	27.321516036987	27.339883804321	2	2	19220780.7273444	991905.5	20611885.2787593	11059934.4138477	25990522.489426			8
1298	1092.73186530181	1092.7303542095	1092.73337639412	20.6234254837035	20.623416900635	20.623434066772	2	2	2972692.97605428	1359066	5451453.02009453	1365158.01547303	2101467.89259529	[228][M+1]+		1
839	748.567807298489	748.567034662959	748.56901689833	27.0802087783815	26.967283248901	27.26078414917	4	3	5854035.13100442	896495.5	6460166.06931539	5710696.16574077	5391243.1579571	[154][M+1]+		6
920	826.63990105073	826.636193670224	826.643608431235	27.356782913208	27.339866638184	27.373699188232	2	2	8337850.86674169	2041804	23963925.7386728	371769.278938448	677857.582613759			8
885	802.565239413875	802.562335346714	802.568143481037	21.024125099182	20.950750350952	21.097499847412	2	2	4818645.71123545	1040172.5	4078.82103186688	7279100.2213001	7172758.09137437			15
508	567.348995027293	567.348712537931	567.349277516654	18.6022418314612	18.6016508687333	18.602832794189	2	2	3600573.20020493	1013720	5584058.31281943	2133344.85293096	3084316.43486439	[88][M+1]+		3
503	566.252571217619	566.250870617752	566.254271817486	18.6022342020667	18.6016508687333	18.6028175354	2	2	3127296.99519116	1784302	7954.77264866885	9368807.43199335	5128.78093145935			3
914	824.543345866297	824.539799343879	824.546517449355	27.7970161437985	27.701017379761	27.813932418823	4	3	4245288.81302461	1512353	1643221.38151609	9784965.07098041	1307679.98657734	[164][M]+		10
837	747.640954635986	747.638989732134	747.642919539839	27.071024894714	27.028017044067	27.114032745361	2	2	6489427.76991518	1606032	503314.761615283	559336.452522064	18405632.0956082			6
384	509.34426723973	509.343003075756	509.346114032998	20.6232826588953	20.589582443237	20.623434066772	3	3	3152310.42937537	729400.5	5094583.83064132	2030880.90164902	2331466.55583577	[60][M+1]+		1
83	303.23368015238	303.233235955228	303.23595726806	22.858432769775	22.858417510986	22.858449935913	3	3	2162823.08410096	666641.5	3253081.83498208	1759480.82346203	1475906.59385876	[12][M]+		19
833	745.553943480196	745.549596977162	745.556602312373	28.694400787354	28.694383621216	28.72825050354	3	3	3127714.2083013	855189.5	5092892.99825694	2309809.93737754	1980439.68926943	[153][M]+		5
1112	993.605360393694	993.605155099423	993.605565687965	6.129499912262	6.129499912262	6.129499912262	2	2	5117840.94656942	633102.5	5386703.70690695	4997935.29213644	4968883.84066486			20
1175	1037.67169678658	1037.67077854061	1037.67261503255	18.0157667338057	18.0156834004723	18.015850067139	2	2	2176279.11068882	556566.5	2875586.63613542	1620235.83061806	2033014.86531299	[204][M+1]+		2
968	882.530557150005	882.529667109203	882.531447190807	5.689258337021	5.655433177948	5.723083496094	2	2	6529259.28677786	480830.5	10265807.1403285	2757297.98526663	6564672.7347384			26
58	281.2472193527	281.246318312459	281.248120392941	25.08224105835	24.991966247559	25.172515869141	2	2	1555651.90220802	616779.5	90551.6956044426	1647012.53764933	2929391.47337028			21
258	448.305901962235	448.304159726033	448.308727973609	12.812116622925	12.793783187866	12.8276003087363	3	3	1191244.10020661	720005	2329713.82067077	197752.599243245	1046265.88070581			18
65	283.262469085246	283.26178431655	283.263153853942	26.9841995239255	26.967283248901	27.00111579895	2	2	1634773.63989071	416051.75	1409246.63674451	1943489.3389088	1551584.94401881	[9][M]+		24
318	481.291672541319	481.28766040848	481.295684674157	13.59641709137	13.57966709137	13.61316709137	2	2	1130993.06178312	1025064.5	3363799.98459904	7495.93723318155	21683.2635171358			16
581	593.477637217207	593.471441984969	593.482935121348	26.933465957642	26.933450698853	26.967300415039	3	3	3868205.69983747	549915	6621888.51556968	4764977.34025349	217751.243689229	[104][M]+		24
430	538.315837444738	538.313282152051	538.318392737424	16.3166917851768	16.221067428589	16.4123161417647	2	2	1501546.36050438	852213	3762177.22755281	468426.934145671	274034.919814666			17
895	804.56825748003	804.563439681199	804.572180406036	28.84118270874	28.728216171265	28.987882614136	5	3	3428157.40933967	415381.5	2365863.4355636	4841349.93352783	3077258.85892757	[161][M+1]+		11
266	452.277732000884	452.277009174553	452.278454827214	17.9299329579673	17.929849624634	17.9300162913007	2	2	988353.52884741	588116.5	1955341.5928377	390063.841184692	619655.152519833	[40][M]+		23
310	480.308600448677	480.30838939605	480.311528701716	20.510499954224	20.5103504536943	20.510517120361	3	3	1514503.02009436	598180	3065038.13594989	485269.152834595	993201.771498592	[47][M]+		22
572	589.332394700184	589.330514920157	589.334274480211	17.1038748524988	17.101533889771	17.1062158152267	2	2	1119040.74050777	332550.5	1297042.307539	954472.846867433	1105607.06711686	[101][M+1]+		12
764	687.548183292264	687.541142959448	687.548551097329	27.028049468994	26.967283248901	27.080200195313	3	3	3527237.73936322	326936.25	2157400.34522376	5617821.61936179	2806491.25350411	[142][M]+		31
813	719.538938301816	719.534271043895	719.541401461589	28.287991523743	28.287982940674	28.547649383545	4	3	2228735.86871722	484031.5	4243167.26789552	1294632.07401133	1148408.2642448	[152][M]+		25
1313	1104.67207208807	1104.66672439502	1104.6784940903	6.022300004959	5.836016654968	6.276249885559	4	3	1813428.07779167	369981.25	509127.995561727	2888375.62866813	2042780.60914516	[230][M]+		27
