sample	groups
datafile.WB01.mzML.area	WB
datafile.WB06.mzML.area	WB
datafile.WB04.mzML.area	WB
datafile.WB05.mzML.area	WB
datafile.WB03.mzML.area	WB
datafile.WB07.mzML.area	WB
datafile.WB08.mzML.area	WB
datafile.WB02.mzML.area	WB
datafile.SERUM01.mzML.area	SERUM
datafile.WB11.mzML.area	WB
datafile.WB12.mzML.area	WB
datafile.WB15.mzML.area	WB
datafile.WB09.mzML.area	WB
datafile.WB10.mzML.area	WB
datafile.WB14.mzML.area	WB
datafile.WB13.mzML.area	WB
datafile.SERUM07.mzML.area	SERUM
datafile.SERUM03.mzML.area	SERUM
datafile.SERUM04.mzML.area	SERUM
datafile.SERUM08.mzML.area	SERUM
datafile.SERUM02.mzML.area	SERUM
datafile.SERUM05.mzML.area	SERUM
datafile.SERUM06.mzML.area	SERUM
datafile.SERUM09.mzML.area	SERUM
datafile.SERUM14.mzML.area	SERUM
datafile.SERUM13.mzML.area	SERUM
datafile.SERUM15.mzML.area	SERUM
datafile.SERUM11.mzML.area	SERUM
datafile.SERUM10.mzML.area	SERUM
datafile.SERUM12.mzML.area	SERUM
datafile.QC1.mzML.area	QC
datafile.QC2.mzML.area	QC
datafile.PLASMA03.mzML.area	PLASMA
datafile.PLASMA05.mzML.area	PLASMA
datafile.PLASMA01.mzML.area	PLASMA
datafile.QC6.mzML.area	QC
datafile.QC5.mzML.area	QC
datafile.QC4.mzML.area	QC
datafile.PLASMA02.mzML.area	QC
datafile.QC3.mzML.area	QC
datafile.QCDDA_SCAN1_02.mzML.area	QC
datafile.PLASMA06.mzML.area	QC
datafile.PLASMA10.mzML.area	QC
datafile.QCDDA_SCAN1_01.mzML.area	QC
datafile.PLASMA08.mzML.area	PLASMA
datafile.PLASMA11.mzML.area	PLASMA
datafile.PLASMA07.mzML.area	PLASMA
datafile.PLASMA12.mzML.area	PLASMA
datafile.PLASMA09.mzML.area	PLASMA
datafile.PLASMA13.mzML.area	PLASMA
datafile.WB_SERUM_PLASMA_TargetedDDMSC18_NEG01.mzML.area	WB
datafile.PLASMA15.mzML.area	PLASMA
datafile.WB_SERUM_PLASMA_TargetedDDMSC18_NEG11.mzML.area	WB
datafile.PLASMA14.mzML.area	PLASMA
datafile.QCDDA_SCAN3_02.mzML.area	QC
datafile.WB_SERUM_PLASMA_TargetedDDMSC18_NEG02.mzML.area	WB
datafile.WB_SERUM_PLASMA_TargetedDDMSC18_NEG03.mzML.area	WB
datafile.WB_SERUM_PLASMA_TargetedDDMSC18_NEG12.mzML.area	WB
datafile.WB_SERUM_PLASMA_TargetedDDMSC18_NEG04.mzML.area	WB
datafile.WB_SERUM_PLASMA_TargetedDDMSC18_NEG13.mzML.area	WB
datafile.QCDDA_SCAN3_01.mzML.area	QC
datafile.WB_SERUM_PLASMA_TargetedDDMSC18_NEG14.mzML.area	WB
datafile.WB_SERUM_PLASMA_TargetedDDMSC18_NEGall.mzML.area	WB
datafile.WB_SERUM_PLASMA_TargetedDDMSC18_NEGall2.mzML.area	WB
datafile.QCDDA_SCAN2_02.mzML.area	QC
datafile.QCDDA_SCAN2_01.mzML.area	QC
