rank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id
1	1	2	2	0.999477030129156	-120.556725913517	1	36.0644991315927	C3H2N3O2	[M + H]+	FADDMCLIRMVXED	InChI=1S/C3H2N3O2/c7-2-3(8)6-5-1-4-2/h(H,6,8)(H,4,5,7)	null	[C]1=NC(=O)C(=O)NN1	-0.300000012	57457209	PubChem:(57457209)	2	113.021133422852	57.7715063095093	284_ms2_res_379
2	1	2	2	0.999477030129156	-120.556725913517	1	36.0644991315927	C3H2N3O2	[M + H]+	FADDMCLIRMVXED	InChI=1S/C3H2N3O2/c7-2-3(8)6-5-1-4-2/h(H,6,8)(H,4,5,7)	null	[C]1=NC(=O)C(=O)NN1	-0.300000012	57457209	PubChem:(57457209)	2	113.021133422852	65.6097722053528	326_ms2_res_435
3	1	2	2	0.999477030129156	-120.556725913517	1	36.0644991315927	C3H2N3O2	[M + H]+	FADDMCLIRMVXED	InChI=1S/C3H2N3O2/c7-2-3(8)6-5-1-4-2/h(H,6,8)(H,4,5,7)	null	[C]1=NC(=O)C(=O)NN1	-0.300000012	57457209	PubChem:(57457209)	2	113.021141052246	61.7774248123169	306_ms2_res_408
4	1	2	2	0.999477010846915	-120.5602257167	1	36.0644991315927	C3H2N3O2	[M + H]+	FADDMCLIRMVXED	InChI=1S/C3H2N3O2/c7-2-3(8)6-5-1-4-2/h(H,6,8)(H,4,5,7)	null	[C]1=NC(=O)C(=O)NN1	-0.300000012	57457209	PubChem:(57457209)	2	113.021118164063	53.7932538986206	263_ms2_res_351
5	1	1	1	0.995674402711783	-69.6115009605797	0	36.393592470364	C19H33NO4	[M + H]+	RYNWPUZHLPREAK	InChI=1S/C19H33NO4/c1-5-6-7-8-9-10-11-12-13-14-19(23)24-17(15-18(21)22)16-20(2,3)4/h6-7,9-10,17H,5,8,11-16H2,1-4H3/p+1	null	CCC=CCC=CCCCCC(=O)OC(CC(=O)O)C[N+](C)(C)C	3.29999995	138257751	PubChem:(138257751)	2	340.248138427734	432.262401580811	2103_ms2_res_2804
6	1	1	1	0.993937954796691	-107.467595100194	0	130.296306886841	C26H45NO6	[M - H2O + H]+	UWKUHJRVKKMLHZ	InChI=1S/C26H45NO6/c1-14(4-7-22(31)27-13-23(32)33)17-5-6-18-24-19(12-21(30)26(17,18)3)25(2)9-8-16(28)10-15(25)11-20(24)29/h14-21,23-24,28-30,32-33H,4-13H2,1-3H3,(H,27,31)	null	CC(CCC(=O)NCC(O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C	2.0999999	90950238	PubChem:(90950238)	2	450.321563720703	507.210216522217	2470_ms2_res_3294
7	1	1	1	0.993937660455479	-107.467041597719	0	130.296306886841	C26H45NO6	[M - H2O + H]+	UWKUHJRVKKMLHZ	InChI=1S/C26H45NO6/c1-14(4-7-22(31)27-13-23(32)33)17-5-6-18-24-19(12-21(30)26(17,18)3)25(2)9-8-16(28)10-15(25)11-20(24)29/h14-21,23-24,28-30,32-33H,4-13H2,1-3H3,(H,27,31)	null	CC(CCC(=O)NCC(O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C	2.0999999	90950238	PubChem:(90950238)	2	450.321655273438	510.988941192627	2489_ms2_res_3319
8	1	1	1	0.993937324001422	-107.479149220351	0	130.296306886841	C26H45NO6	[M - H2O + H]+	UWKUHJRVKKMLHZ	InChI=1S/C26H45NO6/c1-14(4-7-22(31)27-13-23(32)33)17-5-6-18-24-19(12-21(30)26(17,18)3)25(2)9-8-16(28)10-15(25)11-20(24)29/h14-21,23-24,28-30,32-33H,4-13H2,1-3H3,(H,27,31)	null	CC(CCC(=O)NCC(O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C	2.0999999	90950238	PubChem:(90950238)	2	450.321594238281	503.593082427979	2452_ms2_res_3270
9	1	2	2	0.993766356156751	-0.323069667047456	1	31.9231326973569	C14H18N2O3	[M + H]+	IWIANZLCJVYEFX	InChI=1S/C14H18N2O3/c17-13(11-7-4-8-15-11)16-12(14(18)19)9-10-5-2-1-3-6-10/h1-3,5-6,11-12,15H,4,7-9H2,(H,16,17)(H,18,19)	prolylphenylalanine	C1CC(NC1)C(=O)NC(CC2=CC=CC=C2)C(=O)O	1.31420982	1770052;1770053;7081633;5226097;6351946;44369053;53938781;56845412;61157145;61174540;103868978;103869007	COCONUT:(CNP0401040);HMDB:(11179);PubChem:(1770052 1770053 7081633 5226097 6351946 44369053 53938781 56845412 61157145 61174540 103868978 103869007);SuperNatural:(SN00036159 SN00036216 SN00036331 SN00036332);CHEBI:(74795);ZINC bio:(ZINC02115314 ZINC04038394 ZINC05260863 ZINC05260866);additional;PubChem class - bio and metabolites;Training Set;PubMed;KEGG Mine	8610406506	263.139099121094	255.75047492981	1255_ms2_res_1674
10	1	2	2	0.987343062715866	-0.635206959896011	0.999497487437186	32.6962401665584	C18H20N2O3	[M + H]+	GKZIWHRNKRBEOH	InChI=1S/C18H20N2O3/c19-15(11-13-7-3-1-4-8-13)17(21)20-16(18(22)23)12-14-9-5-2-6-10-14/h1-10,15-16H,11-12,19H2,(H,20,21)(H,22,23)	Di-L-phenylalanine	C1=CC=C(C=C1)CC(C(=O)NC(CC2=CC=CC=C2)C(=O)O)N	2.04445481	65104;6426953;6993089;6993090;6993091;36688992;36688993;36688994;36688995;44369305;70064327;101521825;101361980;102532464;129853212	HMDB:(13302);ZINC bio:(ZINC01605264 ZINC01605265 ZINC01605266 ZINC01605267);additional;MeSH:(65104 6993090);PubMed;NORMAN:(NS00045604);COCONUT:(CNP0348037);PubChem:(65104 6426953 6993089 6993090 6993091 36688992 36688993 36688994 36688995 44369305 70064327 101521825 101361980 102532464 129853212);CHEBI:(72723);PubChem class - bio and metabolites;Training Set;PubChem class - drug	53239918	313.154663085938	296.108121871948	1448_ms2_res_1931
