"mz","rt","t.score","p.value"
57.9754,94.58,1.2994,0.2248
59.01367,89.69,-1.689,0.1094
61.79524,1617.35,-9.0037,0
61.98823,1612.98,-1.6961,0.1034
61.98816,1501.24,-4.6728,1e-04
61.98826,1481.35,-6.1104,0
61.98867,1449.32,-0.7883,0.4412
61.98841,1538.05,-5.4008,0
61.9883,1439.6,-3.725,0.0015
61.98846,1394.52,-1.1889,0.2465
61.98832,1512.51,-4.8155,1e-04
61.98832,1425.08,-4.0314,4e-04
61.98858,1521.93,-3.1118,0.0062
61.98873,1406.31,1.4288,0.1697
61.98785,83.21,-0.9479,0.3519
61.98811,1347.2,0.0788,0.9381
61.98837,1585.66,-4.3782,4e-04
61.98866,1375.24,4.9952,0
63.99229,1615.96,-5.8763,0
78.91859,1617.91,1.0787,0.2912
78.9588,74.12,0.8477,0.4043
78.91847,81.84,-2.0559,0.05
80.91649,1617.92,1.7597,0.0903
80.91637,81.32,-1.9662,0.0601
87.00876,89.25,-1.4311,0.1645
89.02431,85.71,-1.9794,0.0657
90.02754,84.52,-1.6388,0.1158
92.92781,79.66,-1.7591,0.1032
92.92789,1621.42,1.5713,0.1455
92.92782,1676.18,0.5628,0.5784
92.92791,1661.74,0.7189,0.4812
92.9278,1632.13,-1.3174,0.2011
92.92794,1643.51,-2.4951,0.0212
94.92484,1621.43,1.3095,0.2085
94.92478,79.21,-0.9878,0.3425
94.92481,1634.82,-0.6026,0.5533
94.92486,1657.69,-0.6662,0.5164
94.92485,1671.87,-0.0229,0.982
96.96012,71.79,-4.5217,1e-04
96.9218,80.23,-2.042,0.0604
98.95597,71.85,-4.3833,2e-04
102.05584,73.88,-1.265,0.2221
102.95671,1622.94,-2.4024,0.0237
102.95669,1645.61,-0.0145,0.9887
102.95671,1676.19,0.9328,0.3696
102.95663,1666.96,1.2188,0.2389
103.03979,92.93,-3.0087,0.0071
103.92003,1626.2,-5.4582,0
104.95382,1622.97,-4.9711,0
104.95379,1645.25,1.0261,0.3165
104.95375,1672.39,1.8772,0.0811
107.05008,455.72,-0.4356,0.6668
108.90176,1621.1,4.4585,6e-04
108.90164,73.67,-0.9535,0.3536
108.90167,1635.1,-0.6318,0.5367
108.90172,1659.58,0.4643,0.6506
108.90176,1676.28,0.7466,0.4718
108.90101,5.53,-0.2313,0.82
109.94171,1618.56,26.8882,0
110.89874,74.05,-1.4702,0.1592
110.89874,1621.02,4.6657,1e-04
110.89891,1661.31,-0.2657,0.7927
110.89876,1676.19,0.8242,0.4217
111.00858,73.7,-0.605,0.5536
111.94683,71.69,-4.3066,3e-04
111.93722,1618.14,19.6032,0
112.05147,130.7,-2.9171,0.0131
112.93664,72.99,-2.2479,0.0333
112.98556,1622.87,-2.2703,0.0468
112.98551,1646.17,2.1375,0.0582
113.02382,91.51,0.3921,0.7038
112.98547,107.84,-0.7609,0.4569
112.98567,1663.32,5.4923,3e-04
114.05581,94.93,-1.168,0.2606
115.03978,184.61,-2.0292,0.0561
114.93614,1617.36,-4.2573,5e-04
115.92063,1618.26,4.1413,5e-04
116.07149,104.68,-3.0444,0.0064
116.9287,1617.78,2.4956,0.0193
116.9307,1444.31,-4.3192,2e-04
116.93218,1501.59,-7.0193,0
117.0555,135.25,-9.0764,0
117.019,75.26,-2.7246,0.0122
118.93075,1622.57,5.0021,1e-04
118.9306,1654.87,1.6239,0.1247
118.93047,1670.92,4.0935,5e-04
118.93055,1637.69,3.2148,0.004
119.0347,87.71,-4.0923,5e-04
119.94641,1618.9,-5.0606,1e-04
123.90178,1619.27,-9.2526,0
124.0074,76.48,0.9838,0.3492
125.89954,1619.24,-9.5971,0
126.88108,1625.94,10,0
127.00091,94.34,-3.4453,0.0026
128.03522,90.2,-1.5191,0.1449
128.07139,189.71,-3.3037,0.0041
128.95948,1622.96,4.0103,0.001
128.95947,1648.47,-0.2157,0.8319
128.89166,76.04,-5.1773,0
128.95948,1672.33,2.3313,0.0364
129.05566,345.24,-1.2864,0.217
130.08728,184.17,-3.226,0.0037
130.05884,345.38,-1.2105,0.242
130.08732,168.78,-3.7384,9e-04
130.88917,76.17,-3.8967,9e-04
131.09021,184.53,-3.5079,0.0018
132.03004,73.81,0.1966,0.8459
132.08155,377.67,-3.5768,0.0023
132.8675,1619.51,-7.5219,0
133.01348,73.52,-4.5989,1e-04
134.04721,344.71,1.7299,0.1144
134.89442,1618.3,0.4186,0.6802
135.04483,391.46,-3.4302,0.0025
135.03102,208.66,-3.4133,0.0021
135.02977,76.41,-2.331,0.0296
135.94507,1618.61,26.9545,0
136.90961,1618.86,-1.734,0.0963
136.87726,80.04,-2.0793,0.0476
137.02417,366.22,-1.5101,0.1494
137.94157,1618.03,5.5975,3e-04
138.87506,78.97,-2.0481,0.0508
138.94161,1618.14,18.3536,0
139.93801,1618.09,20.102,0
140.97519,76.09,-1.5331,0.1396
141.93268,1618.46,24.2046,0
142.08689,342.03,-3.2384,0.0047
142.97258,75.4,-0.8131,0.4316
143.03312,90.61,-2.1976,0.0388
143.92755,1618.13,21.6961,0
144.04526,589.26,-5.0653,0
144.06632,182.29,-3.3637,0.0035
144.04521,409.42,-4.4562,2e-04
145.06183,78.27,-1.3293,0.2084
146.04574,73.98,-1.9317,0.0723
146.96587,1616.37,-6.7275,0
146.93858,1625.73,-5.7824,0
146.96619,1607.3,4.7855,4e-04
146.98284,84.86,-1.9342,0.0738
147.04512,339.82,-4.4346,2e-04
147.04764,73.66,-3.1356,0.0046
148.04355,133.54,-3.36,0.0024
148.98002,84.84,-1.881,0.0827
150.0018,635.86,-0.9368,0.3583
150.05605,379.76,-1.3394,0.1947
150.05581,341.88,-2.6667,0.014
150.88644,80.43,-1.8338,0.0939
151.0261,225.32,-3.5411,0.0015
152.03606,1219.15,3.588,0.0033
152.03588,1195.75,2.5075,0.0286
152.03556,1180.26,1.9694,0.07
152.03545,1157.05,3.1325,0.0076
152.88349,80.27,-1.701,0.1171
153.0192,424.14,0.6204,0.5417
152.97805,101.4,-0.4245,0.6797
153.0669,200.63,-3.5705,0.002
154.06172,93.64,-0.6206,0.5471
154.88056,80.63,-1.4029,0.1893
154.91863,72.78,-4.9134,0
155.08232,189.49,-3.074,0.0068
156.91561,72.92,-5.0462,0
157.0118,88.56,-2.0784,0.0567
156.99646,1617.87,-2.6025,0.0175
157.12336,610.6,-1.9001,0.0756
158.08196,339.06,-4.1201,6e-04
158.00291,151.22,-2.0667,0.0543
158.84669,79.33,-5.8765,0
158.84666,70.96,-7.399,0
158.91185,1617.91,4.1638,0.0024
158.91163,1606.38,3.8143,0.0041
158.91175,1385.42,3.6104,0.0057
158.91174,1504.71,4.5288,0.0014
158.91178,1474,3.4051,0.0078
158.91173,1335.27,3.9472,0.0034
158.91168,1536.35,4.6252,0.0012
158.91162,1318.74,10,0
158.91191,1372.71,2.2965,0.0473
158.91175,1426.9,2.7301,0.0232
158.91173,1579.87,2.9364,0.0166
158.91194,1628.85,4.1955,0.0023
158.91179,1413.44,3.5042,0.0067
158.9117,1465.31,4.2442,0.0022
158.91186,1358.21,4.5119,0.0015
158.91166,1443.03,4.3041,0.002
158.91182,1453.99,4.486,0.0015
158.91161,1299.26,4.2156,0.0023
158.91169,1068.36,4.6313,0.0012
158.91177,1493.39,4.3667,0.0018
158.91152,944.68,5.1816,6e-04
158.91179,1233.66,10,0
158.91168,956.32,5.2741,5e-04
158.91132,874.86,5.6245,3e-04
158.91185,1268.1,2.3265,0.045
158.91186,1057.98,5.4123,4e-04
158.91183,919.15,3.5986,0.0058
158.91187,1589.73,4.1666,0.0024
158.91181,1210.42,4.4295,0.0016
158.91168,845.83,5.1867,6e-04
158.91182,1020.07,5.0619,7e-04
158.91196,1282.95,4.4648,0.0016
158.91173,931.36,5.4362,4e-04
158.91187,1030.39,4.9413,8e-04
159.91407,1424.4,3.528,0.0064
159.91424,1489.2,4.1906,0.0023
159.91404,1398.4,4.633,0.0012
159.86158,79.88,10,0
160.84189,77.09,-7.2848,0
160.84232,1626.57,1.2819,0.2267
160.91145,1618.08,3.3938,0.006
160.9114,1606.31,3.8041,0.0042
160.91128,1314.9,4.3241,0.0019
160.91152,1465.31,3.8058,0.0042
160.91152,1294.76,4.1857,0.0024
160.91141,1494.48,2.6576,0.0261
160.91155,1522.65,3.1062,0.0126
160.91164,1385.78,4.215,0.0023
160.91143,1335.2,10,0
160.91154,1455.56,3.8608,0.0038
160.91147,1504.43,3.9204,0.0035
160.91151,1514.28,4.3523,0.0018
160.91158,1473.48,4.2771,0.0021
160.91142,1573.14,3.9597,0.0033
160.91156,1424.86,2.7942,0.0209
160.91141,1537.48,4.1389,0.0025
160.91151,1560.37,3.8792,0.0037
160.91159,1581.84,3.3973,0.0079
160.91147,1483.09,3.3503,0.0085
160.91144,1440.13,4.2053,0.0023
160.91147,1376.85,3.6817,0.0051
160.91156,1409.61,4.0416,0.0029
160.91146,1548.32,3.1736,0.0113
160.91141,1023.85,3.1612,0.0115
160.91127,1232.36,4.9957,7e-04
160.91157,1365.28,4.2724,0.0021
160.9114,1063.59,4.4485,0.0016
160.91151,1075.89,5.5313,4e-04
160.91151,1268.03,4.4974,0.0015
160.9117,1589.73,4.2265,0.0022
160.91161,1255.94,4.9789,8e-04
160.91114,1325.17,10,0
160.99869,89.57,-2.6486,0.0168
162.83934,1626.25,-3.6377,0.002
162.83798,13.45,-6.4614,0
162.83919,79.21,-7.1238,0
162.94,1613.18,-2.3472,0.0297
162.99591,91.22,-2.4564,0.025
163.55057,340.87,-4.3033,3e-04
164.07178,340.21,-4.4444,2e-04
164.03397,385.61,-2.353,0.0306
164.83605,75.38,-8.0483,0
164.8365,1626.71,-5.7591,0
165.07459,340.86,-3.9833,5e-04
165.05554,354.75,-3.6669,0.0011
165.09183,558.93,-3.2555,0.0045
165.04034,73.56,-3.7248,0.0012
166.0761,340.83,-4.3994,2e-04
166.8601,74.83,1.4361,0.1663
167.0212,95.89,-0.7401,0.4718
167.87734,1619.18,4.2205,0.0021
167.87782,1437.9,4.4775,0.0015
167.87763,1478.92,4.2787,0.002
167.87746,1465.94,4.8246,9e-04
167.8779,1458.15,4.7114,0.0011
167.87786,1423.32,5.2881,5e-04
167.87794,1404.15,4.8158,0.001
168.02385,96.49,-0.6275,0.5399
168.85751,74.99,0.7956,0.4376
168.96624,87.48,-1.2451,0.2242
169.09827,341.84,-3.1325,0.006
169.86292,1618.63,3.4127,0.0066
170.10155,342.46,-2.3712,0.0298
170.8927,72.1,-5.0345,0
170.87091,1625.78,-5.5987,0
170.94443,89.57,-1.9822,0.0583
171.02748,93.21,-2.7168,0.0146
171.13918,688.13,-2.5475,0.0174
171.87424,1619.33,3.7633,0.0038
172.01491,92.3,-1.5332,0.1393
172.06115,327.32,-2.9269,0.0094
172.88994,72.15,-5.1155,0
172.86829,1625.68,10,0
172.9915,378.63,-0.0071,0.9944
173.99442,378,0.1941,0.8482
174.03046,104.14,-1.9982,0.0608
174.05571,539.12,-0.644,0.5275
173.98686,282.99,1.8501,0.0973
174.95633,230.15,1.6086,0.1385
174.95643,254.59,1.3021,0.2218
174.98788,377.27,-0.0137,0.9892
176.07169,377.16,-3.7851,0.0014
176.81754,1616.74,-3.4095,0.0032
176.90049,70.12,-3.7453,0.001
178.05122,348.91,0.9714,0.3534
178.05442,373.77,-2.4185,0.0232
178.81562,1616.47,-4.3346,2e-04
178.91014,78.67,-1.9484,0.068
179.05766,386.58,-2.1595,0.0453
179.05616,89.99,-3.6669,0.0011
180.06675,183.05,-4.1623,4e-04
180.05994,387.38,-2.4702,0.0243
180.05957,88.67,-3.4771,0.0023
180.97258,1622.84,-1.494,0.1668
180.97335,1645.26,3.0394,0.0085
180.97322,1671.82,4.2966,5e-04
180.97322,1658.52,5.9682,0
181.05103,189.57,-6.8148,0
181.07138,89.82,-1.6659,0.114
182.04512,349.6,-3.183,0.0053
182.04366,94.12,-1.3709,0.1857
181.96646,78.14,1.3996,0.1919
182.83418,73.37,0.6532,0.5216
182.89764,1626.04,10,0
183.13903,458.09,-1.2784,0.2183
184.05925,105.9,-2.4377,0.0263
184.83177,73.48,0.1714,0.8656
184.93776,1618.5,17.5479,0
185.08203,592.87,-2.0393,0.0532
185.04312,138.58,-7.7477,0
185.99409,89.09,-0.7085,0.4887
186.92853,66.88,-4.1294,4e-04
187.01457,345.99,-0.6277,0.5398
187.00739,456.63,-0.3267,0.7465
187.09765,331.82,-2.548,0.0177
187.13412,566.26,-4.6424,1e-04
188.04603,184.79,-2.895,0.0076
188.01024,456.65,-0.2848,0.778
187.99186,89.41,-0.6304,0.5356
188.0028,341.1,1.5769,0.1491
189.01152,345.59,-0.3455,0.7348
188.98669,355.79,2.2135,0.0528
189.00393,456.43,-0.1533,0.8794
190.05102,340.12,-4.6198,1e-04
190.04331,187.62,-1.7632,0.0972
190.92879,1625.73,-6.0552,0
190.87878,85.52,1.584,0.1386
190.95532,98.12,-2.4548,0.0219
191.01985,73.63,-0.6207,0.5442
192.02312,73.81,-0.4092,0.6879
192.06679,363.13,-4.0665,7e-04
192.87568,85,1.5807,0.1405
193.00952,94.48,-2.8117,0.012
193.03521,74.34,-5.5579,0
193.81579,70.53,-8.8473,0
193.97925,75.43,-0.7734,0.4532
194.08294,951.44,-11.2257,0
195.05248,335.45,-2.1929,0.0421
195.0514,75.84,-6.1041,0
195.10298,464.46,-0.3587,0.7255
195.81098,70.57,-7.6787,0
195.81096,80.02,-7.0875,0
195.81125,1618.16,-4.4311,4e-04
195.97626,75.47,-0.4,0.6963
196.02283,91.76,-0.9507,0.3582
196.83337,80.15,-1.7707,0.0887
196.94759,1623.09,-0.8072,0.4284
196.94767,1645.09,3.7312,0.0044
196.94746,1672.97,6.8585,0
196.94756,1658.82,4.2433,0.0018
197.04352,345.29,-0.29,0.7756
197.03175,105.3,-3.8662,7e-04
197.80823,1617.92,-4.5072,3e-04
197.80847,1539.76,-3.4047,0.0034
197.80809,74.68,-4.5204,3e-04
198.07494,184.15,-2.416,0.0247
198.07495,169.57,-3.3325,0.0027
199.03795,93.82,1.1532,0.2663
199.00716,502.72,0.056,0.9557
199.0977,348.53,-2.4961,0.0223
199.1707,881.25,-5.9734,0
199.17056,871.67,0.4853,0.6346
199.80499,70.43,-8.6947,0
199.8053,1618.16,-4.1101,7e-04
199.80518,80.35,-6.1656,0
200.1743,881.51,-5.0974,0
200.17418,870.58,1.5528,0.1483
200.93149,76.11,-1.5841,0.1411
200.91225,1618.13,6.8277,0
201.03805,86.42,-1.1711,0.2554
201.80196,71.2,-7.1857,0
202.90846,1618.4,9.6091,0
203.083,370.45,-0.8025,0.4345
202.98849,346.12,-0.8799,0.3918
203.02061,85.4,-0.3371,0.7426
203.00238,431.3,0.8908,0.3886
204.08567,370.91,-0.6269,0.5401
204.00432,74.9,-0.7741,0.4493
204.02007,184.41,-2.4111,0.0236
204.94147,83.57,-2.4278,0.0253
205.16044,1150.43,0.636,0.5321
206.93806,83.19,-3.5359,0.0021
208.84542,81.07,-2.1541,0.0533
208.92149,93.15,-2.7251,0.0131
209.03052,72.56,-0.8341,0.4161
210.84253,81.06,-2.0333,0.0649
210.9367,91.21,0.2393,0.8135
211.08372,358.43,-1.1002,0.2827
211.82719,1617.69,4.2808,0.002
212.00269,406.24,0.0105,0.9917
212.83954,80.75,-2.0162,0.0652
212.9217,1622.12,1.3455,0.1918
212.87794,74.28,-4.3629,2e-04
213.0173,345.28,0.1686,0.8687
213.00568,406.43,0.2408,0.8119
213.02299,562.68,-1.3283,0.197
212.93462,91.41,1.1518,0.2713
212.9926,114.23,1.3036,0.2247
213.14973,628.69,-3.9826,8e-04
213.82571,1617.52,4.5,0.0015
213.88929,80.85,-5.8654,0
214.04879,185.84,-3.6429,0.0015
213.99958,406.62,-0.0607,0.9521
214.34887,83.58,-4.689,1e-04
214.8383,80.74,-1.58,0.1296
215.03317,84.18,-4.4107,2e-04
215.1656,671.48,-4.3596,3e-04
215.82469,1618.01,4.4605,0.0016
215.88614,81.34,-4.8184,2e-04
216.03201,133.28,-3.2686,0.0032
216.03667,84.73,-3.1223,0.0047
216.90926,71.91,-3.021,0.0071
217.03041,84.29,-5.0279,1e-04
218.03376,84.19,-3.6074,0.0013
218.95021,99.49,-2.1727,0.0425
218.87753,1666.93,4.9768,1e-04
218.87771,1656.99,4.1777,0.0012
218.87675,1675.44,6.0019,0
218.87592,1638.62,1.3412,0.2123
218.87495,1623.34,-4.4839,2e-04
218.87457,85.39,-1.5992,0.1227
220.14707,626.82,-4.9687,1e-04
220.87118,85.58,-1.0386,0.3168
220.96626,1646.46,-0.6828,0.5038
220.96574,101.99,-2.5862,0.0219
221.1538,626.82,-3.6096,0.0017
221.1553,1083.05,-12.7232,0
222.03071,340.18,-3.2418,0.0035
222.79084,1618.69,3.2465,0.0094
222.8684,85.65,-1.3102,0.2079
223.03452,339.71,-3.1383,0.0043
