"mz","rt","t.score","p.value"
70.01275,34.2,-0.1796,0.8588
70.06524,207.9,0.3632,0.7208
70.06527,36.3,0.1373,0.8926
70.06532,44.4,-1.6995,0.1035
70.06534,176.34,0.5937,0.5606
70.06544,255.48,3.6787,0.0012
70.16249,573.24,-4.7109,0
70.3107,586.44,2.2306,0.0384
70.36063,465.18,-2.1535,0.0372
70.38105,600.36,1.6916,0.1055
70.4145,589.38,-6.172,0
70.47211,465.18,-2.1521,0.0375
70.54067,37.92,-0.9714,0.3389
70.56859,582.6,1.4114,0.171
70.60494,607.8,1.2839,0.2064
70.60741,490.56,-2.3567,0.0228
70.65207,37.98,-1.4575,0.1565
70.69418,582.66,1.6392,0.1138
70.7189,490.5,-2.2132,0.0325
70.72734,752.16,-0.4661,0.6445
70.81936,582.54,1.0705,0.2973
70.83231,598.8,-0.8211,0.4197
70.97985,34.14,1.3726,0.1797
70.98057,754.74,0.5087,0.6147
70.9806,757.62,1.2915,0.2094
71.04931,215.88,0.9832,0.3405
71.04935,438.18,0.6793,0.5036
71.04943,490.68,-0.788,0.4362
71.07242,569.22,-2.4112,0.0249
71.08482,617.16,-0.9486,0.3531
71.08562,600.54,2.3026,0.0356
71.25295,474.36,-0.7094,0.4853
71.27794,752.76,0.5117,0.6143
71.30856,474.36,-0.4418,0.6621
71.38943,752.82,0.4733,0.6409
71.5019,613.26,1.2738,0.2136
71.52965,34.38,2.5768,0.0173
71.54913,322.8,0.0014,0.9989
71.63068,40.32,-2.0319,0.0507
71.69795,606.66,-0.9235,0.3616
71.80947,606.48,-1.102,0.2774
71.92944,773.22,0.4465,0.6581
71.92946,203.64,-3.3476,0.0028
71.95203,755.28,0.6424,0.5251
72.08087,206.88,-1.1599,0.2544
72.08089,193.56,1.7692,0.0954
72.08089,47.94,0.4654,0.6462
72.08092,57.96,-0.0678,0.9465
72.08095,582.36,1.3926,0.1787
72.08096,33.72,0.3499,0.7301
72.31554,38.34,-0.8293,0.4115
72.41376,572.82,-4.3442,1e-04
72.53702,367.2,1.2042,0.2467
72.6657,588.96,-5.2837,0
72.7451,40.08,-0.1078,0.9151
72.79765,497.04,-2.8342,0.008
72.9372,764.04,0.2075,0.8377
72.9372,766.56,0.7408,0.4668
72.93725,250.62,-1.6669,0.11
72.93726,769.86,0.1321,0.8959
72.93726,237.54,-1.5871,0.1274
73.06493,205.5,4.2927,6e-04
73.16124,491.22,-2.9662,0.0063
73.23936,582.24,0.4896,0.6281
73.53192,34.26,0.6892,0.4951
73.53745,130.2,2.6553,0.0171
73.7973,595.8,1.193,0.2432
73.8145,606.66,-0.5244,0.605
73.94506,205.44,-3.1064,0.0055
73.94509,155.88,-0.8085,0.4273
74.02379,199.56,-5.67,0
74.07139,43.08,-0.5562,0.584
74.09653,583.08,-2.1438,0.0361
74.09656,672.36,0.1229,0.9032
74.09656,725.94,1.7579,0.0884
74.09656,680.76,1.4248,0.1683
74.09657,740.4,-1.4293,0.1603
74.09657,751.02,-0.6547,0.5162
74.09657,738.78,-1.4541,0.1529
74.09657,696.96,1.3123,0.2008
74.31757,37.92,-3.2572,0.0024
74.75179,39.36,-2.0529,0.0474
74.78343,606.42,-2.5888,0.0118
74.8353,629.16,-3.2857,0.003
74.95293,765.3,0.3548,0.7263
74.95294,768.84,0.3706,0.7141
74.95295,204.36,-1.0522,0.3039
75.04421,764.76,0.2249,0.8233
75.04422,389.34,-2.1593,0.0403
75.04423,768.54,0.0141,0.9888
75.17073,647.7,-4.6437,0
75.18547,616.92,-2.0877,0.0412
75.28398,516.84,1.2166,0.2369
75.29686,616.74,-0.4038,0.6884
75.30214,575.58,2.3349,0.0305
75.54948,518.46,-0.1645,0.8708
75.65092,36.84,2.7365,0.0136
75.80613,586.26,0.966,0.3461
75.86618,39.12,-0.3758,0.71
75.9454,766.86,1.6506,0.108
75.9454,758.04,1.1696,0.2491
75.94544,761.88,1.042,0.3065
76.03088,516.84,0.4519,0.656
76.03855,504.3,-0.7868,0.4395
76.07608,43.2,-5.0908,0
76.20453,38.16,-1.4936,0.1497
76.31986,37.92,-1.1306,0.2704
76.54208,450.72,-3.4142,0.0012
76.56796,597.72,1.4204,0.1701
76.61652,661.32,-3.407,0.0021
76.72802,661.26,-3.4046,0.002
76.98045,39,-1.3976,0.1738
77.01549,450.12,1.2744,0.2157
77.03867,163.14,5.569,0
77.0387,314.16,-2.6593,0.0101
77.03872,199.8,-4.8148,0
77.03873,80.88,0.2582,0.7978
77.5017,647.46,-3.0942,0.0044
77.51641,616.68,-0.638,0.5287
77.54907,359.52,1.5394,0.1439
77.6132,647.4,-2.8826,0.0067
77.62782,616.62,-0.8059,0.4263
77.64177,347.76,0.7856,0.4439
77.83516,708.24,-4.5976,0
77.94093,758.82,1.8596,0.071
77.94097,766.98,2.006,0.0533
77.94985,652.08,-1.5874,0.1276
78.06135,652.08,-1.5899,0.1273
78.07111,606.78,-1.7651,0.0834
78.09474,37.92,-1.0937,0.2824
78.17282,652.08,-1.6452,0.1153
78.17381,676.62,-2.2978,0.0302
78.20615,37.86,-1.6689,0.1049
78.2853,676.56,-2.3819,0.0249
78.29993,595.92,0.7124,0.4844
78.39677,676.56,-2.2485,0.0331
78.3978,692.46,-2.6849,0.0109
78.50309,676.44,-2.0683,0.0472
78.55687,399.66,2.1399,0.0484
78.96711,323.58,-6.716,0
78.96722,216.72,-3.6423,0.0013
78.96729,156.6,-4.2741,3e-04
79.01795,33.96,-0.0839,0.9338
79.02134,47.88,0.7197,0.4827
79.05432,207.48,1.578,0.1347
79.05438,163.2,5.4037,0
79.2934,575.76,2.3435,0.0287
79.30995,606.72,-0.4288,0.6719
79.50697,666,-5.2609,0
79.55922,490.56,-3.3968,0.0016
79.68513,490.56,-1.684,0.1025
79.73098,694.62,-4.2708,1e-04
79.79727,586.02,0.6096,0.5493
79.81004,490.56,-2.6159,0.0129
79.81447,603.6,-0.7276,0.4741
79.84035,735.72,-1.522,0.1368
79.86963,38.28,-0.7013,0.4867
79.93847,761.04,0.5514,0.5864
80.04957,44.82,-2.0637,0.0436
80.04957,198.06,-1.3048,0.2037
80.05797,652.08,-1.3811,0.1814
80.06442,744,-1.186,0.2485
80.11375,652.14,-1.3466,0.1917
80.17576,744.12,-0.6287,0.5365
80.282,676.2,-1.1492,0.2637
80.30117,599.46,2.4916,0.0168
80.33775,676.14,-0.8441,0.4084
80.39233,652.2,-2.4101,0.0238
80.50192,701.16,-7.0631,0
80.50379,652.14,-2.6237,0.0152
80.6134,701.16,-5.5432,0
80.61626,675.96,-1.6905,0.1062
80.7277,676.08,-1.8196,0.0829
80.8051,613.92,0.4423,0.6631
80.94808,40.8,-0.993,0.3275
80.96304,216.66,-3.4449,0.0022
80.97382,450.06,1.2038,0.2412
81.06443,681.18,-3.2556,0.0034
81.06992,604.8,-1.229,0.2309
81.06995,490.98,-1.0329,0.3117
81.07002,211.14,4.6663,3e-04
81.07002,448.02,0.8631,0.4013
81.07004,207.72,2.6314,0.0182
81.07009,575.28,2.4499,0.0265
81.16972,658.74,-4.0395,3e-04
81.17595,680.94,-3.1829,0.0038
81.28121,658.68,-3.8973,4e-04
81.28843,713.88,-2.64,0.013
