"mz","rt","t.score","p.value"
198.99285,450,-0.6855,0.4994
128.0787,450,0.206,0.8384
159.13825,450,3.1741,0.0042
88.04655,450,2.162,0.0407
127.07555,450,-0.051,0.9597
187.16955,450,1.8427,0.0699
145.08615,450,0.3455,0.7322
213.00755,450,0.4071,0.6862
215.20085,450,-0.5835,0.5646
87.0442,450,2.1332,0.0451
113.05985,450,0.3877,0.6995
73.0274,450,1.9028,0.0739
286.2816,450,-0.5963,0.5557
229.2163,450,0.041,0.9676
201.18535,450,0.1053,0.9172
119.0584,450,-0.953,0.3525
285.2796,450,-0.7839,0.4387
258.2509,450,0.322,0.7507
257.24775,450,0.2711,0.7889
114.9722,450,-0.9996,0.3262
259.2537,450,-0.4528,0.6556
128.9355,450,0.1349,0.8937
172.96845,450,2.6759,0.0115
128.94305,450,2.5324,0.0173
128.9306,450,0.2834,0.7788
188.994,450,1.2003,0.2398
146.9132,450,-0.8743,0.3896
190.9884,450,1.3638,0.1846
144.9663,450,0.4999,0.6213
128.99095,450,-3.9889,4e-04
236.93885,450,-2.0192,0.052
146.95975,450,-1.9606,0.0589
254.94895,450,-1.4344,0.1651
96.51615,450,0.755,0.4579
208.9443,450,-0.9653,0.3432
228.9146,450,-1.5962,0.1259
303.88165,450,1.4716,0.1524
158.00285,450,2.6948,0.0094
214.89895,450,1.1114,0.2759
172.98395,450,0.2055,0.8388
128.9423,450,-1.9791,0.058
172.96855,450,-1.8044,0.0839
103.5221,450,-0.6876,0.4969
303.02725,450,-2.4586,0.0185
145.008,450,1.7351,0.0941
130.54265,450,-0.1189,0.9063
237.90845,450,-0.2074,0.8373
305.02375,428.4,-1.729,0.0928
304.02805,450,-3.7383,0.0014
103.02395,450,1.239,0.225
124.5232,449.7,-0.1509,0.8816
204.9287,451.2,-2.1053,0.0452
154.03705,450.9,-0.7918,0.4383
232.07175,452.4,-2.4869,0.0222
218.9464,449.4,0.3675,0.7166
172.0472,456,-2.677,0.0126
179.02995,450.6,0.4498,0.6571
394.847,450,-0.4303,0.6717
248.04285,447.6,-1.0126,0.3213
114.0115,450.9,-1.797,0.0878
124.0251,446.4,-1.171,0.2579
88.0231,450,0.2415,0.811
271.103,450.9,-1.8773,0.074
161.02925,450,0.1503,0.882
90.01865,450,-0.0232,0.9817
114.00405,455.7,-0.3101,0.7593
243.0718,420,-1.2188,0.239
244.99495,450,-0.073,0.9424
133.0162,450,1.9774,0.0619
209.93595,447.9,0.0084,0.9934
155.01705,450,-0.5846,0.5653
88.52395,450,-0.2627,0.7951
231.07205,450,-1.632,0.12
115.00575,450,0.4221,0.6767
236.9467,450,-0.7131,0.483
263.94125,451.2,-1.5292,0.1377
263.0052,452.7,-0.816,0.4221
262.0062,450,-1.526,0.139
228.94595,450,-0.2342,0.817
261.0057,450,-1.5524,0.1378
345.0495,451.5,-1.4737,0.1594
160.01475,450,0.0066,0.9948
221.9296,450,-3.3374,0.0037
242.9948,450,-1.2175,0.2339
99.5336,450,0.2065,0.8381
217.05575,450,-1.2654,0.2233
159.0146,450,-0.7047,0.487
99.99725,452.1,-2.9786,0.0069
147.0262,450,-2.8564,0.0098
244.9994,450,-1.9946,0.0601
113.0102,450,-0.823,0.4164
213.0618,450,-1.715,0.0976
131.02,450,-1.8256,0.0723
235.9466,449.7,-3.1381,0.0056
118.0354,450,-3.1692,0.0061
249.92575,450,-1.6519,0.1119
126.5967,453.3,-2.1221,0.0506
114.0407,450,-1.2836,0.2168
90.5269,450,1.7065,0.0928
101.0178,450,-0.9938,0.3321
244.9467,451.2,-3.2377,0.0041
184.9681,450,1.2206,0.2359
168.0517,449.7,0.8682,0.3961
103.0139,450.9,-1.1044,0.2814
128.13575,461.1,-1.8112,0.0864
123.0145,450,-1.0618,0.2997
137.02985,450,0.9736,0.3412
86.02685,450,-0.4407,0.6622
70.0136,450,0.1735,0.8635
95.0312,450,-0.7868,0.4369
109.97685,451.8,-1.6458,0.1093
129.01345,450,-3.0657,0.0058
79.01745,450,0.0239,0.9811
258.9608,450,-0.2725,0.7882
124.0151,450,-1.3181,0.2021
249.96285,448.2,0.0734,0.9423
243.99685,450,-0.9952,0.3277
160.0442,450,0.1075,0.9153
128.09715,449.1,0.2674,0.7914
102.02285,450,-3.606,0.0011
100.03535,450,0.0199,0.9843
147.03225,450,-1.239,0.233
142.03575,450,-2.6314,0.0133
128.06005,450,-4.3589,4e-04
81.0143,450,0.0706,0.9443
106.0066,450,-3.0894,0.0044
79.5187,450,0.0994,0.9215
215.0579,448.8,-0.0664,0.9477
139.02705,450,0.6119,0.546
107.0032,450,-0.3467,0.7315
111.97635,450,-0.6366,0.5299
88.9986,448.8,-1.6949,0.1062
101.03655,450,0.5897,0.5595
174.02575,450.6,0.5671,0.5752
119.0169,450,-2.1499,0.0445
146.0308,450,1.7543,0.0857
105.00275,450,-2.2271,0.034
129.00295,450,-4.5715,0
100.0247,450,-3.2153,0.0032
255.939,450,-0.7402,0.4686
120.02025,450,1.1999,0.24
102.01125,450,-2.1862,0.0328
148.02765,450,-2.1927,0.0368
133.9994,458.4,-2.2824,0.0278
147.0118,450,-0.0684,0.9459
112.0147,449.4,-1.4591,0.1545
110.0409,450,-2.1375,0.0407
100.98075,448.8,-1.0535,0.301
82.01495,450,-1.8822,0.0688
101.0241,450,0.0485,0.9618
84.0133,450,-1.443,0.1588
156.01485,450,-0.3199,0.753
165.02535,450,-1.9117,0.0692
184.96215,450,-2.7249,0.0087
130.01715,450,-2.0027,0.0528
132.99845,450,-1.6309,0.1113
121.02275,449.4,-2.4087,0.0195
183.96245,450,-1.5069,0.1393
115.98725,450,-1.8002,0.0827
86.99215,450,-1.8497,0.0728
101.0088,450,-2.7319,0.0097
121.01655,450,-1.2174,0.2342
130.02605,450,-2.4063,0.025
128.01985,450,-1.9961,0.054
129.01975,450,-1.2663,0.2144
200.97375,450,-1.0279,0.3082
130.00435,453.9,-0.7874,0.4387
87.994,450,-2.1534,0.0388
220.9803,450,-0.8094,0.4246
241.99925,450,-0.7626,0.4514
87.0125,450,-0.6248,0.5356
83.5342,449.1,-1.1604,0.2544
110.01095,450,-1.552,0.1304
111.00995,450,-1.3065,0.2005
234.99625,454.2,0.2291,0.8204
201.9745,450,-0.5142,0.6114
112.0064,450,-1.4948,0.1448
218.9836,450,-0.8733,0.3892
114.9876,450,-1.5982,0.1204
219.98545,450,-1.918,0.063
151.03505,450,-2.2461,0.0374
215.0671,444.6,-1.2963,0.2138
82.53695,450,-1.0778,0.289
73.5333,449.7,-1.3589,0.1824
78.03765,450,-0.2526,0.8033
232.9229,425.1,0.4462,0.6582
110.02355,450,-0.369,0.7145
225.986,451.8,-0.3238,0.7486
273.09195,450.6,-1.4185,0.1764
222.98085,450,1.2561,0.2142
109.99745,446.4,-1.6273,0.1133
234.00065,450,-0.3809,0.7065
128.0041,453.3,-2.0827,0.0428
243.0024,447.9,-0.7449,0.4617
107.00885,451.5,-1.2408,0.2293
110.01635,453.6,-2.2225,0.0357
86.982,449.4,-1.6843,0.1067
111.997,450,-0.3851,0.7031
128.0116,461.4,-2.383,0.0233
128.02645,453.3,-0.8346,0.4116
110.00285,458.7,0.1327,0.8955
317.90045,450,-1.7284,0.1012
198.9427,450,0.0654,0.9484
179.0208,450,-0.5333,0.5988
125.0098,448.5,-1.5221,0.1428
234.9599,449.4,0.2357,0.8154
91.54095,450,-0.2322,0.8188
286.95625,459.9,-1.7587,0.0954
127.02465,449.7,-2.1663,0.0444
222.93105,450.6,-3.843,3e-04
227.9447,449.4,-0.1289,0.8988
287.95805,450.9,-2.6811,0.0167
143.0394,450,-0.0556,0.9561
