id_number	mz	rtime	rtime_left_base	rtime_right_base	parent_masstrack_id	peak_area	cSelectivity	goodness_fitting	snr	detection_counts	R449_LG_M	QC_1	QC_2	QC_3	QC_4	QC_5	R446_HG_M	R446_LG_M	R449_HG_M	R455_HG_M	R455_LG_M	R456_HG_M	R456_LG_M	R457_HG_M	R457_LG_M
F1	70.0078	43.64	41.76	46.31	5	2594870	1	0.99	217	13	438904	0	60677	344205	236768	265386	0	30627	545613	186751	103502	94205	153170	77081	73655
F36	70.0353	263.8	262.19	265.67	15	11262579	1	0.98	1509	13	996137	800967	969040	804148	806972	777914	956985	806128	807742	0	712856	1052358	0	832710	952622
F37	70.0407	331.72	330.12	333.59	16	1932384	1	0.99	266	4	0	0	0	0	0	0	657959	0	468406	0	569220	0	0	0	381338
F38	70.0482	606.67	604	608.01	18	6399501	1	0.9	642	9	518590	329196	0	0	0	904338	249319	0	0	734929	772478	460013	0	627572	778639
F39	70.0482	608.81	608.01	609.88	18	1072945	1	0.96	209	9	88611	61146	0	0	0	105561	35988	0	0	190986	195120	149131	0	132695	88198
F41	70.0488	606.67	603.73	609.61	19	2814338	1	0.85	273	5	0	0	808998	590326	0	0	0	350148	436235	0	0	0	658480	0	0
F46	70.0488	987.14	985.27	988.48	19	1650311	0.79	0.78	4	6	0	0	228287	333406	0	0	0	144206	353475	0	0	220908	364580	0	0
F47	70.0492	606.67	603.46	609.88	20	76616196	1	0.99	6482	15	5359574	4942680	5210603	5359520	5361248	5052780	5142387	4429812	4503321	4504942	6657708	5294383	4229442	5669037	4923759
F50	70.065	52.99	51.12	55.67	23	31225498	1	0.97	939	15	1794534	2496538	2593295	1324435	2112266	2061298	1544413	2938675	2176796	1650476	2364022	2070192	2363528	2167044	1585986
F54	70.0976	327.71	326.11	329.58	27	1220196	1	1	165	2	0	0	0	0	0	0	829211	0	0	0	0	0	534563	0	0
F55	70.1178	359.8	358.46	361.67	30	1110001	1	1	155	2	0	553353	577487	0	0	0	0	0	0	0	0	0	0	0	0
F56	70.155	359.27	357.66	361.94	33	822406	1	0.96	107	1	0	0	0	0	0	0	851060	0	0	0	0	0	0	0	0
F57	70.1589	840.79	838.39	844	34	13432602	1	0.91	1291	14	953224	854388	1069992	933911	938151	921228	651669	1154412	0	2119572	1011078	526157	1180258	835540	305022
F58	70.1599	606.14	604	609.08	35	12646377	0.97	0.98	1288	15	109028	294362	1363940	1363344	246597	1339355	346760	101504	219414	1194616	1742213	1387080	193765	1375023	1389376
